bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
71,843b057bdc9b72150b3b61cd67833adacbffd32e,b0b891c75f83dd011f4ac872933c635422bf0b54,TEMP-701,https://issues.apache.org/jira/browse
72,186e999374f0ff249b37d75100f05b7c7acb14b7,843b057bdc9b72150b3b61cd67833adacbffd32e,TEMP-701,https://issues.apache.org/jira/browse
73,580a7b5d395c315e4b7172f5563d3fe7461f92a6,186e999374f0ff249b37d75100f05b7c7acb14b7,TEMP-701,https://issues.apache.org/jira/browse
74,5cff72ac2749348e20ebbb4bceecdc1c5418bb89,580a7b5d395c315e4b7172f5563d3fe7461f92a6,TEMP-701,https://issues.apache.org/jira/browse
75,2564b7006523813a051cdfb1eef1b8871d7f2e39,2d37ab6a0d53fce60095b352d36dddd9d26f5ab0,TEMP-700,https://issues.apache.org/jira/browse
76,37ae51dfc16e24480923443e01d27c76f9fe3672,1d4d1873430c3737991841f43ea065b66199b732,TEMP-688,https://issues.apache.org/jira/browse
77,09bda53aed9728ccb235fa7622e981e47cd943a0,0cee29aa4c1818963ed1a55058219282e89d7488,TEMP-699,https://issues.apache.org/jira/browse
78,2c1418d701fa74b60eb824ab4d48384d9d9cddfb,9e8d03a2ef565d32d09c795e1e29642ba48bd1c7,TEMP-174,https://issues.apache.org/jira/browse
79,8c6f4f81549498ec91920727caa326143a0d7c74,558e930612120d8594fa3cdbca15788da19c184c,TEMP-600,https://issues.apache.org/jira/browse
80,6ad5a5e4ea9b1d0281bc1732c63aea076e995dac,a0dc657e9a068650a675c1b894a84022dbb8ca06,TEMP-694,https://issues.apache.org/jira/browse
81,29b35b498264d29dbacb17349b30ea8ece3dbfac,6ad5a5e4ea9b1d0281bc1732c63aea076e995dac,TEMP-694,https://issues.apache.org/jira/browse
82,2bc7e31f1dee0cb6ff4f3c57a63ac09cd4c2d1aa,167effda26f5fabfef36a9878f0a0ce395855d10,TEMP-692,https://issues.apache.org/jira/browse
83,bf47606dccc78acf42754c1d58544e9ec0c1705d,2bc7e31f1dee0cb6ff4f3c57a63ac09cd4c2d1aa,TEMP-2,https://issues.apache.org/jira/browse
84,1dc7834e639b2245ada901bc011f651a09a98aaf,8ae947bcc796d73b0eab7d94f10a002f66896af3,TEMP-2,https://issues.apache.org/jira/browse
85,42ed368a27a0d049a7dd021c7f77ccd7d31a7a1c,4a514d3306b55b3667d1449ebd4cbe5f19dd7af0,TEMP-597,https://issues.apache.org/jira/browse
86,4d3a6bb54f7d0867cd6f279ce3778719688eb1ec,75b79c7203699abb83e5ed2ed398af65139ef064,TEMP-163,https://issues.apache.org/jira/browse
87,8f4ccfc0819152b18490960b698ab3fc2573d824,e1a5fdde3937f47a8f78d14dff4f2c91337c2ad0,TEMP-689,https://issues.apache.org/jira/browse
88,466231aebb59f15b57ffd23c84d290e27fe6f77c,8f4ccfc0819152b18490960b698ab3fc2573d824,TEMP-689,https://issues.apache.org/jira/browse
89,e65b52b253b2157351ec8b287e7573fa54aceffc,c0f4623c95d9e5290c1aa8b16d63eadda6aa7828,TEMP-1,https://issues.apache.org/jira/browse
90,567ef2645505c08ae079770a3ed060070c5f3d72,e26387a5322eb4f68963573ae4febd76c975def0,TEMP-117,https://issues.apache.org/jira/browse
91,891a55da3148388f7dc3d1238ff926c118bd4d9c,bef89cfd40e04118fbb7384dc474b73b3b0c4742,TEMP-2,https://issues.apache.org/jira/browse
