bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
111,1ff9c8b884b6805a5d08e470b9e7771f39d7449c,e75b2edd53d840e1163e9eb1715ef304596f69c6,TEMP-480,https://issues.apache.org/jira/browse
112,c12bcf57ec3d70303aca8bb3251c2941b1232ebb,aec7c943a7f797fa0c28a525a98964593bec89ae,TEMP-494,https://issues.apache.org/jira/browse
113,ea404294c62a1f54bdd238365e3aa3be587f160c,79253380a13362b631285a427b08f70aef54fa64,TEMP-492,https://issues.apache.org/jira/browse
114,0a6f4d458d63e41de714ff93f28b4e6b8b5c44eb,ac65ef8457de014462967ee6d9354ed43cace618,TEMP-492,https://issues.apache.org/jira/browse
115,188c2d0f926819cb3f133600bfa253b4cc35636b,efed269e52de3d7dc9733b9d47408526bff25a7f,TEMP-492,https://issues.apache.org/jira/browse
116,ba93e499b9e327bc2a131b740c108aa477a1a652,87058fcc14851401368176e34ccbe07688513c60,TEMP-1,https://issues.apache.org/jira/browse
117,417108e8aaa49f406ab7ba6f7e8f341fda5e776b,564bd1ee8e227972fa62c14fac730770c8133847,TEMP-8,https://issues.apache.org/jira/browse
118,783fea7e5484a7c4fa1d918fc10db3cf151b1e36,1f696bb27bd7045f6361f4ab6f131e60a7d52ee2,TEMP-46,https://issues.apache.org/jira/browse
119,54b53793a5f46eed7648ff3d2236eb114c4f1121,27369ed150d79a009c72e070ba61ab5b9148f6e1,TEMP-5,https://issues.apache.org/jira/browse
120,8d1fd6ffc999fa31a28d54c33f0d9be3d502ea4b,54b53793a5f46eed7648ff3d2236eb114c4f1121,TEMP-485,https://issues.apache.org/jira/browse
121,0fc436474cd29849bd610e7336773e08ba37c17b,4bb2f5f1a66f4fa8059941549cc6eea53a19286c,TEMP-483,https://issues.apache.org/jira/browse
122,9c88461ef8254cdb30f9aaedb312135900d0065a,6d3d503cc4a4dfe75717fb9eb0b9d2b84ecdd45b,TEMP-466,https://issues.apache.org/jira/browse
123,d189001e04b93586e0f07a4648ec402b0e5cc6a7,12d33c3bd2156252b55cb7152fe8a153effc74cf,TEMP-426,https://issues.apache.org/jira/browse
124,21fe00762666bde2131c441bade758ae203b4bd0,65334e1c34299fc54d36885be1b6b1b29099d854,TEMP-3,https://issues.apache.org/jira/browse
125,f48876521e52ae38d4e75c08c5fb27edb0eee326,737a076added6e41719d205ca9aa5261e68e5002,TEMP-456,https://issues.apache.org/jira/browse
126,4c0888abc38717d496e7781c0e648b30df42afbc,f48876521e52ae38d4e75c08c5fb27edb0eee326,TEMP-449,https://issues.apache.org/jira/browse
