num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
140,JXPATH-93,2,1,122,132,209,"[132, 122]",124,124,164,[124],0.116
140,JXPATH-97,3,2,0,33,210,"[6, 33, 0]",5,26,165,"[5, 26]",0.27899999999999997
140,JXPATH-97,3,2,1,21,211,"[1, 2, 21]",0,1,165,"[0, 1]",0.674
140,JXPATH-97,6,5,1,35,211,"[4, 6, 1, 33, 2, 35]",0,26,165,"[3, 5, 0, 26, 1]",0.4744
140,JXPATH-102,2,1,0,1,212,"[1, 0]",0,0,165,[0],0.163
140,JXPATH-100,2,1,44,199,212,"[44, 199]",44,44,165,[44],0.546
140,JXPATH-114,3,2,18,204,214,"[18, 43, 204]",17,42,165,"[17, 42]",0.2665
140,JXPATH-109,4,2,87,204,214,"[127, 98, 87, 204]",91,113,165,"[113, 91]",0.1405
140,JXPATH-115,2,1,24,203,214,"[24, 203]",22,22,165,[22],0.237
140,JXPATH-149,1,1,59,59,222,[59],48,48,168,[48],0.009
140,JXPATH-151,3,2,63,148,223,"[143, 148, 63]",110,115,168,"[110, 115]",0.002
160,JXPATH-12,4,2,1,199,201,"[1, 2, 8, 199]",0,1,159,"[0, 1]",0.694
160,JXPATH-50,2,1,13,67,201,"[67, 13]",55,55,159,[55],0.029
160,JXPATH-68,1,1,3,3,203,[3],3,3,160,[3],0.344
160,JXPATH-83,3,2,69,202,205,"[69, 74, 202]",33,38,161,"[33, 38]",0.003
160,JXPATH-89,2,1,1,201,206,"[1, 201]",1,1,161,[1],0.948
160,JXPATH-94,2,1,5,32,208,"[32, 5]",26,26,163,[26],0.025
160,JXPATH-93,5,4,41,75,209,"[72, 73, 74, 75, 41]",54,57,164,"[54, 55, 56, 57]",0.022
160,JXPATH-95,2,1,2,3,209,"[3, 2]",2,2,164,[2],0.071
160,JXPATH-95,4,3,2,6,209,"[6, 4, 5, 2]",3,5,164,"[5, 3, 4]",0.05933333333333333
160,JXPATH-93,2,1,41,57,209,"[57, 41]",42,42,164,[42],0.04
160,JXPATH-97,3,2,0,41,210,"[15, 41, 0]",13,34,165,"[13, 34]",0.1885
160,JXPATH-97,3,2,1,23,211,"[1, 2, 23]",0,1,165,"[0, 1]",0.6165
160,JXPATH-97,6,5,1,42,211,"[4, 15, 1, 42, 2, 38]",0,34,165,"[3, 13, 0, 34, 1]",0.422
160,JXPATH-102,2,1,11,90,212,"[90, 11]",83,83,165,[83],0.001
160,JXPATH-100,2,1,151,196,212,"[151, 196]",139,139,165,[139],0.028
160,JXPATH-114,3,2,110,171,214,"[130, 110, 171]",78,95,165,"[95, 78]",0.1205
160,JXPATH-109,4,2,55,200,214,"[55, 154, 182, 200]",44,133,165,"[44, 133]",0.003
160,JXPATH-115,2,1,96,162,214,"[96, 162]",66,66,165,[66],0.236
160,JXPATH-149,1,1,93,93,222,[93],76,76,168,[76],0.007
160,JXPATH-151,3,2,95,215,223,"[95, 98, 215]",67,70,168,"[67, 70]",0.002
180,JXPATH-12,4,2,0,14,201,"[1, 0, 9, 14]",0,1,159,"[1, 0]",0.6125
180,JXPATH-50,2,1,30,78,201,"[78, 30]",64,64,159,[64],0.019
180,JXPATH-68,1,1,1,1,203,[1],1,1,160,[1],0.506
180,JXPATH-83,3,2,64,162,205,"[86, 64, 162]",64,79,161,"[79, 64]",0.16549999999999998
180,JXPATH-89,2,1,0,159,206,"[0, 159]",0,0,161,[0],0.704
180,JXPATH-94,2,1,0,1,208,"[1, 0]",0,0,163,[0],0.306
180,JXPATH-93,5,4,136,192,209,"[136, 137, 138, 139, 192]",117,120,164,"[117, 118, 119, 120]",0.001
180,JXPATH-95,2,1,45,167,209,"[45, 167]",36,36,164,[36],0.005
180,JXPATH-95,4,3,41,197,209,"[41, 192, 197, 167]",32,157,164,"[32, 152, 157]",0.0036666666666666666
180,JXPATH-93,2,1,145,192,209,"[145, 192]",126,126,164,[126],0.001
180,JXPATH-97,3,2,0,27,210,"[6, 27, 0]",5,26,165,"[5, 26]",0.369
180,JXPATH-97,3,2,1,42,211,"[2, 1, 42]",0,1,165,"[1, 0]",0.4955
180,JXPATH-97,6,5,1,66,211,"[4, 6, 2, 27, 1, 66]",0,26,165,"[3, 5, 1, 26, 0]",0.43179999999999996
180,JXPATH-102,2,1,1,2,212,"[2, 1]",1,1,165,[1],0.38
180,JXPATH-100,2,1,85,163,212,"[85, 163]",80,80,165,[80],0.164
180,JXPATH-114,3,2,138,156,214,"[146, 138, 156]",124,129,165,"[129, 124]",0.037
180,JXPATH-109,4,2,6,53,214,"[30, 53, 6, 35]",23,41,165,"[23, 41]",0.033
180,JXPATH-115,2,1,99,200,214,"[99, 200]",88,88,165,[88],0.001
180,JXPATH-149,1,1,66,66,222,[66],50,50,168,[50],0.007
180,JXPATH-151,3,2,44,75,223,"[74, 44, 75]",28,54,168,"[54, 28]",0.0625
200,JXPATH-12,4,2,1,13,201,"[1, 3, 5, 13]",0,2,159,"[0, 2]",0.8045
200,JXPATH-50,2,1,34,132,201,"[132, 34]",116,116,159,[116],0.001
200,JXPATH-68,1,1,58,58,203,[58],37,37,160,[37],0.101
200,JXPATH-83,3,2,144,195,205,"[144, 166, 195]",127,148,161,"[127, 148]",0.009999999999999998
200,JXPATH-89,2,1,16,110,206,"[16, 110]",0,0,161,[0],0.906
200,JXPATH-94,2,1,12,13,208,"[12, 13]",9,9,163,[9],0.03
200,JXPATH-93,5,4,81,158,209,"[81, 87, 88, 82, 158]",76,83,164,"[76, 82, 83, 77]",0.1965
200,JXPATH-95,2,1,0,85,209,"[85, 0]",70,70,164,[70],0.004
200,JXPATH-95,4,3,0,8,209,"[8, 4, 6, 0]",3,7,164,"[7, 3, 5]",0.08199999999999999
200,JXPATH-93,2,1,92,158,209,"[92, 158]",87,87,164,[87],0.197
200,JXPATH-97,3,2,1,20,210,"[19, 20, 1]",13,14,165,"[13, 14]",0.2025
200,JXPATH-97,3,2,0,186,211,"[0, 4, 186]",0,3,165,"[0, 3]",0.7895
200,JXPATH-97,6,5,0,32,211,"[3, 19, 0, 20, 4, 32]",0,14,165,"[2, 13, 0, 14, 3]",0.5458000000000001
200,JXPATH-102,2,1,89,189,212,"[89, 189]",81,81,165,[81],0.001
200,JXPATH-100,2,1,35,205,212,"[35, 205]",31,31,165,[31],0.128
200,JXPATH-114,3,2,84,107,214,"[84, 89, 107]",52,57,165,"[52, 57]",0.0385
200,JXPATH-109,4,2,101,171,214,"[127, 105, 101, 171]",94,113,165,"[113, 94]",0.389
200,JXPATH-115,2,1,104,147,214,"[147, 104]",112,112,165,[112],0.001
200,JXPATH-149,1,1,142,142,222,[142],112,112,168,[112],0.005
200,JXPATH-151,3,2,13,144,223,"[135, 144, 13]",118,127,168,"[118, 127]",0.001
220,JXPATH-12,4,2,0,20,201,"[0, 1, 18, 20]",0,1,159,"[0, 1]",0.904
220,JXPATH-50,2,1,37,47,201,"[47, 37]",36,36,159,[36],0.027
220,JXPATH-68,1,1,16,16,203,[16],14,14,160,[14],0.302
220,JXPATH-83,3,2,149,157,205,"[149, 150, 157]",144,145,161,"[144, 145]",0.002
220,JXPATH-89,2,1,0,81,206,"[0, 81]",0,0,161,[0],0.89
220,JXPATH-94,2,1,20,22,208,"[20, 22]",15,15,163,[15],0.03
220,JXPATH-93,5,4,28,65,209,"[62, 63, 64, 65, 28]",54,57,164,"[54, 55, 56, 57]",0.015
220,JXPATH-95,2,1,0,1,209,"[0, 1]",0,0,164,[0],0.252
220,JXPATH-95,4,3,1,4,209,"[4, 2, 3, 1]",1,3,164,"[3, 1, 2]",0.05566666666666667
220,JXPATH-93,2,1,27,29,209,"[27, 29]",22,22,164,[22],0.072
220,JXPATH-97,3,2,0,24,210,"[10, 24, 0]",8,17,165,"[8, 17]",0.2025
220,JXPATH-97,3,2,3,19,211,"[7, 3, 19]",2,5,165,"[5, 2]",0.2575
