project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions
Net,200_sigmuid,0.5310588503860012,0.5310588503860012,0.0,551,0.2,0.5310588503860012,0.0,0.0,0.0,0.0,78,1,1
Net,220_sigmuid,0.41793131740820505,0.41793131740820505,0.0,551,0.2,0.4179313174082051,0.0,0.0,0.0,0.0,78,1,1
Net,240_sigmuid,0.46199472747300413,0.46199472747300413,0.0,551,0.2,0.46199472747300413,0.0,0.0,0.0,0.0,78,1,1
Net,260_sigmuid,0.6001297923794592,0.6001297923794592,0.0,551,0.2,0.6001297923794592,0.0,0.0,0.0,0.0,78,1,1
Net,280_sigmuid,0.45776402413963735,0.45776402413963735,0.0,551,0.2,0.45776402413963735,0.0,0.0,0.0,0.0,78,1,1
Net,300_sigmuid,0.4527517188745169,0.4527517188745169,0.0,551,0.2,0.4527517188745169,0.0,0.0,0.0,0.0,78,1,1
Net,320_sigmuid,0.46120922502845235,0.46120922502845235,0.0,551,0.2,0.46120922502845235,0.0,0.0,0.0,0.0,78,1,1
Net,340_sigmuid,0.5319709612567942,0.5319709612567942,0.0,551,0.2,0.5319709612567942,0.0,0.0,0.0,0.0,78,1,1
Net,360_sigmuid,0.5773481190389594,0.5773481190389594,0.0,551,0.2,0.5773481190389594,0.0,0.0,0.0,0.0,78,1,1
Net,380_sigmuid,0.4562627529300859,0.4562627529300859,0.0,551,0.2,0.4562627529300859,0.0,0.0,0.0,0.0,78,1,1
Net,400_sigmuid,0.5933927881163583,0.5933927881163583,0.0,551,0.2,0.5933927881163583,0.0,0.0,0.0,0.0,78,1,1
Net,420_sigmuid,0.5114362743568678,0.5114362743568678,0.0,551,0.2,0.5114362743568678,0.0,0.0,0.0,0.0,78,1,1
Net,440_sigmuid,0.5126065748311966,0.5126065748311966,0.0,551,0.2,0.5126065748311966,0.0,0.0,0.0,0.0,78,1,1
Net,460_sigmuid,0.5386745146318309,0.5386745146318309,0.0,551,0.2,0.5386745146318309,0.0,0.0,0.0,0.0,78,1,1
Net,480_sigmuid,0.6130962869374776,0.6130962869374776,0.0,551,0.2,0.6130962869374776,0.0,0.0,0.0,0.0,78,1,1
Net,500_sigmuid,0.5808923495241524,0.5808923495241524,0.0,551,0.2,0.5808923495241524,0.0,0.0,0.0,0.0,78,1,1
Net,520_sigmuid,0.548840953975725,0.548840953975725,0.0,551,0.2,0.548840953975725,0.0,0.0,0.0,0.0,78,1,1
Net,540_sigmuid,0.6161946965530293,0.6161946965530293,0.0,551,0.2,0.6161946965530293,0.0,0.0,0.0,0.0,78,1,1
Net,560_sigmuid,0.6802270779847674,0.6802270779847674,0.0,551,0.2,0.6802270779847674,0.0,0.0,0.0,0.0,78,1,1
Net,580_sigmuid,0.6488868564091307,0.6488868564091307,0.0,551,0.2,0.6488868564091307,0.0,0.0,0.0,0.0,78,1,1
Net,600_sigmuid,0.4590694547607572,0.4590694547607572,0.0,551,0.2,0.4590694547607572,0.0,0.0,0.0,0.0,78,1,1
Net,20_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,40_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,60_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,80_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,100_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,120_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,140_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,160_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,180_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,200_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,220_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,240_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,260_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,280_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,300_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,320_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,340_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,360_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,380_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,400_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,420_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,440_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,460_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,480_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,500_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,520_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,540_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,560_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,580_sigmuid,0.0,0.0,5,339,0.2,0,100,100,1.0,100,194,1,2
Net,600_sigmuid,0.0473534376250462,0.0236767188125231,5,339,0.2,0.03156895841669746,60.0,60.0,0.6,60.0,194,1,2
Net,20_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,40_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,60_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,80_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,100_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,120_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,140_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,160_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,180_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,200_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,220_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,240_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,260_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,280_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,300_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,320_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,340_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,360_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,380_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,400_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,420_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,440_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,460_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,480_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,500_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,520_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,540_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,560_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,580_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,600_sigmuid,0.0,0.0,7,483,0.2,0,100,100,1.0,100,121,1,3
Net,20_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,40_sigmuid,0.07396918480947239,0.07396918480947239,1.0,516,0.2,0.07396918480947239,20.0,20.0,0.2,20.0,93,1,1
Net,60_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,80_sigmuid,0.03998290432983287,0.03998290432983287,1.0,516,0.2,0.03998290432983287,20.0,20.0,0.2,20.0,93,1,1
Net,100_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,120_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,140_sigmuid,0.03542304218751488,0.03542304218751488,1.0,516,0.2,0.03542304218751488,20.0,20.0,0.2,20.0,93,1,1
Net,160_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,180_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,200_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,220_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,240_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,260_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,280_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,300_sigmuid,0.04701473865072677,0.04701473865072677,3.0,516,0.2,0.04701473865072678,60.0,60.0,0.6,60.0,93,1,1
Net,320_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,340_sigmuid,0.058128554938098015,0.058128554938098015,1.0,516,0.2,0.05812855493809802,20.0,20.0,0.2,20.0,93,1,1
Net,360_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,380_sigmuid,0.07633102268432933,0.07633102268432933,1.0,516,0.2,0.07633102268432933,20.0,20.0,0.2,20.0,93,1,1
Net,400_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,420_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
Net,440_sigmuid,0.0,0.0,5,516,0.2,0,100,100,1.0,100,93,1,1
