method,project,MAP,MRR,TOP-K,average similarity,,,,,,,,,,,,,,,,
180_Topics,Lang,0.25,0.726190476,0.058869702,0.890714286,,,,,,,,,,,,,,,,
200_Topics,Lang,0.24484127,0.716666667,0.085949765,0.757214286,,,,,,,,,,,,,,,,
220_Topics,Lang,0.253968254,0.761904762,0.059262166,0.82375,,,,,,,,,,,,,,,,
240_Topics,Lang,0.270634921,0.776190476,0.064364207,0.59175,,,,,,,,,,,,,,,,
260_Topics,Lang,0.261904762,0.779761905,0.061386093,0.717142857,,,,,,,,,,,,,,,,
280_Topics,Lang,0.259920635,0.75,0.064756672,0.865214286,,,,,,,,,,,,,,,,
300_Topics,Lang,0.238095238,0.702380952,0.10321821,0.635107143,,,,,,,,,,,,,,,,
320_Topics,Lang,0.259920635,0.803571429,0.059654631,0.849035714,,,,,,,,,,,,,,,,
340_Topics,Lang,0.25,0.730952381,0.096546311,0.815392857,,,,,,,,,,,,,,,,
360_Topics,Lang,0.244047619,0.732142857,0.070643642,0.841428571,,,,,,,,,,,,,,,,
380_Topics,Lang,0.251984127,0.738095238,0.064756672,0.773142857,,,,,,,,,,,,,,,,
400_Topics,Lang,0.246428571,0.742857143,0.102825746,0.826321429,,,,,,,,,,,,,,,,
420_Topics,Lang,0.271825397,0.821428571,0.058084772,0.77025,,,,,,,,,,,,,,,,
440_Topics,Lang,0.257936508,0.738095238,0.064756672,0.867035714,,,,,,,,,,,,,,,,
460_Topics,Lang,0.283730159,0.81547619,0.052590267,0.701928571,,,,,,,,,,,,,,,,
480_Topics,Lang,0.248015873,0.720238095,0.090659341,0.702857143,,,,,,,,,,,,,,,,
500_Topics,Lang,0.251984127,0.738095238,0.091836735,0.64925,,,,,,,,,,,,,,,,
520_Topics,Lang,0.199404762,0.601190476,0.089366516,0.934964286,,,,,,,,,,,,,,,,
540_Topics,Lang,0.226984127,0.663095238,0.117346939,0.735428571,,,,,,,,,,,,,,,,
560_Topics,Lang,0.231179138,0.707142857,0.135007849,0.740821429,,,,,,,,,,,,,,,,
580_Topics,Lang,0.293650794,0.875,0.043171115,0.691357143,,,,,,,,,,,,,,,,
600_Topics,Lang,0.251984127,0.744047619,0.070251177,0.753571429,,,,,,,,,,,,,,,,
BugLocator,Net,0.026708883,0.099696172,0.534652812,0.139448877,,,,,,,,,,,,,,,,
20_Topics,Net,0.075260008,0.243734084,0.15813504,0.614716156,,,,,,,,,,,,,,,,
40_Topics,Net,0.063555437,0.206084595,0.155699216,0.512124688,,,,,,,,,,,,,,,,
60_Topics,Net,0.087970423,0.272878173,0.12446871,0.430411794,,,,,,,,,,,,,,,,
80_Topics,Net,0.116833881,0.365584924,0.13464857,0.464334096,,,,,,,,,,,,,,,,
100_Topics,Net,0.087139632,0.276348386,0.141170661,0.393799271,,,,,,,,,,,,,,,,
120_Topics,Net,0.101496612,0.325248581,0.127402019,0.39987405,,,,,,,,,,,,,,,,
140_Topics,Net,0.104908523,0.334258639,0.158995744,0.406154449,,,,,,,,,,,,,,,,
160_Topics,Net,0.083322886,0.274679509,0.171330283,0.349328396,,,,,,,,,,,,,,,,
180_Topics,Net,0.092828945,0.299641035,0.143054118,0.36089311,,,,,,,,,,,,,,,,
200_Topics,Net,0.093608397,0.298627033,0.149931367,0.358548186,,,,,,,,,,,,,,,,
220_Topics,Net,0.120670689,0.383426776,0.127240355,0.332730563,,,,,,,,,,,,,,,,
240_Topics,Net,0.103970083,0.322375524,0.158544027,0.337646178,,,,,,,,,,,,,,,,
260_Topics,Net,0.104854508,0.333590273,0.149367661,0.346319632,,,,,,,,,,,,,,,,
280_Topics,Net,0.088483289,0.29271317,0.141960545,0.349600905,,,,,,,,,,,,,,,,
300_Topics,Net,0.105374688,0.333891631,0.153679815,0.355417933,,,,,,,,,,,,,,,,
320_Topics,Net,0.130671181,0.410936407,0.141311941,0.373293735,,,,,,,,,,,,,,,,
340_Topics,Net,0.116232952,0.357444203,0.148363441,0.344390816,,,,,,,,,,,,,,,,
360_Topics,Net,0.086695035,0.274234182,0.154439215,0.321792965,,,,,,,,,,,,,,,,
380_Topics,Net,0.089908344,0.284655745,0.143867831,0.335764258,,,,,,,,,,,,,,,,
400_Topics,Net,0.103775155,0.331504257,0.151428258,0.279869517,,,,,,,,,,,,,,,,
420_Topics,Net,0.101385502,0.334424803,0.156569584,0.325797346,,,,,,,,,,,,,,,,
440_Topics,Net,0.117154869,0.373692195,0.136414095,0.377168595,,,,,,,,,,,,,,,,
460_Topics,Net,0.099795428,0.316802872,0.142556521,0.345571774,,,,,,,,,,,,,,,,
480_Topics,Net,0.105718939,0.334543972,0.158242568,0.29268433,,,,,,,,,,,,,,,,
500_Topics,Net,0.111748254,0.357385462,0.150442054,0.354902392,,,,,,,,,,,,,,,,
