project,technique,precision,recall,wasted,bug id,original score percentage,f-score,expense,t-score,cost,exam-score,bug index,changed files,changed functions,ranked name MRR,ranked name avg similarity
Compress,420_sigmuid,0.039721192,0.039721192,3,631,0.2,0.039721192,60,60,0.6,60,33,1,1,ranked 20,ranked 25
Compress,440_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 27,ranked 8
Compress,460_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 11,ranked 19
Compress,480_sigmuid,0.043213956,0.043213956,4,631,0.2,0.043213956,80,80,0.8,80,33,1,1,ranked 21,ranked 29
Compress,500_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 24,ranked 14
Compress,520_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 22,ranked 24
Compress,540_sigmuid,0.036612298,0.036612298,4,631,0.2,0.036612298,80,80,0.8,80,33,1,1,ranked 28,ranked 12
Compress,560_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 15,ranked 28
Compress,580_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 14,ranked 26
Compress,600_sigmuid,0,0,5,631,0.2,0,100,100,1,100,33,1,1,ranked 23,ranked 17
Compress,20_sigmuid,0.687312786,0.687312786,0,551,0.2,0.687312786,0,0,0,0,78,1,1,ranked 2,ranked 1
Compress,40_sigmuid,0.821656935,0.821656935,0,551,0.2,0.821656935,0,0,0,0,78,1,1,ranked 1,ranked 2
Compress,60_sigmuid,0.411269425,0.411269425,0,551,0.2,0.411269425,0,0,0,0,78,1,1,ranked 3,ranked 4
Compress,80_sigmuid,0.491270387,0.491270387,0,551,0.2,0.491270387,0,0,0,0,78,1,1,ranked 26,ranked 3
Compress,100_sigmuid,0.482530147,0.482530147,0,551,0.2,0.482530147,0,0,0,0,78,1,1,ranked 6,ranked 7
Compress,120_sigmuid,0.531081441,0.531081441,0,551,0.2,0.531081441,0,0,0,0,78,1,1,ranked 13,ranked 6
Compress,140_sigmuid,0.514418109,0.514418109,0,551,0.2,0.514418109,0,0,0,0,78,1,1,ranked 19,ranked 5
