num of topics,bug id,num of files that changed,num of files that changed no tests,first index exist files,max index exist files,num of files checked exist files,all indexes,first index exist files no tests,max index exist files no tests,num of files checked exist files no tests,all indexes no tests,average similarity
560,LANG-171,2,1,0,6,28,"[0, 6]",0,0,14,[0],0.986
560,LANG-219,2,1,0,11,31,"[0, 11]",0,0,14,[0],0.903
560,LANG-224,2,1,0,10,31,"[0, 10]",0,0,14,[0],0.89
580,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.858
580,LANG-100,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.912
580,LANG-106,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.871
580,LANG-111,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.865
580,LANG-112,2,1,0,5,25,"[0, 5]",0,0,13,[0],0.769
580,LANG-114,2,1,4,7,25,"[7, 4]",3,3,13,[3],0.011
580,LANG-118,2,1,0,1,25,"[0, 1]",0,0,13,[0],0.815
580,LANG-120,3,2,0,2,25,"[2, 0, 1]",0,1,13,"[1, 0]",0.6905
580,LANG-122,2,1,1,10,25,"[1, 10]",1,1,13,[1],0.338
580,LANG-128,2,1,0,4,25,"[4, 0]",1,1,13,[1],0.294
580,LANG-168,3,2,0,6,28,"[0, 6, 1]",0,2,14,"[0, 2]",0.5575
580,LANG-171,2,1,0,1,28,"[0, 1]",0,0,14,[0],0.772
580,LANG-219,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.966
580,LANG-224,2,1,0,1,31,"[0, 1]",0,0,14,[0],0.96
600,LANG-96,1,1,0,0,28,[0],0,0,17,[0],0.971
600,LANG-100,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.941
600,LANG-106,2,1,0,6,25,"[0, 6]",0,0,13,[0],0.96
600,LANG-111,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.968
600,LANG-112,2,1,1,6,25,"[1, 6]",1,1,13,[1],0.805
600,LANG-114,2,1,3,10,25,"[3, 10]",2,2,13,[2],0.202
600,LANG-118,2,1,0,2,25,"[0, 2]",0,0,13,[0],0.861
600,LANG-120,3,2,0,3,25,"[2, 0, 3]",0,2,13,"[2, 0]",0.955
600,LANG-122,2,1,3,17,25,"[3, 17]",3,3,13,[3],0.393
600,LANG-128,2,1,3,4,25,"[3, 4]",2,2,13,[2],0.216
600,LANG-168,3,2,0,3,28,"[0, 1, 3]",0,1,14,"[0, 1]",0.918
600,LANG-171,2,1,0,3,28,"[0, 3]",0,0,14,[0],0.958
600,LANG-219,2,1,0,8,31,"[8, 0]",1,1,14,[1],0.505
600,LANG-224,2,1,1,5,31,"[1, 5]",1,1,14,[1],0.897
